Comment_URL,GPT_Input,GPT_Output
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1171806715,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A comment for the above changes, which may includes issues or suggestions.

Task: List the issues or suggestions raised in the Review Comment, and determine whether they are valid or not.
The valid issues or suggestions should be:
- Focus on the reviewed file itself.
- Actionable: Require a change to the reviewed file.
- Specific: Includes details to locate which parts of the Reviewed Change should be modified.
(Suggestions that are expressed in a indirect manner are acceptable, including those framed as questions.)
The following are considered only general issues or suggestions, but NOT valid:
- Comments that lack any specific details, and could apply to any code review scenario.
- Comments that only request checking of resources, without requiring specific code modifications.
The following are NOT considered issues or suggestions at all:
- Items that have been implemented in the Reviewed Change, as they are the descriptions of the existing code changes.
- Suggestions that are unrelated to the reviewed file (e.g., requests for more context).
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Contain Any Issues Or Suggestions: The review comment contains no issues or suggestions.
- Only Contain General Issues Or Suggestions: The review comment only contains general issues or suggestions.
- Contain Valid Issues Or Suggestions: The review comment contains at least one valid issues or suggestions.

Output Format:
Issues or Suggestions: List valid items from the Review Comment clearly, preserving code details, including inline code blocks and multi-line code snippets, and using the original wording as much as possible.
Classification: Based on the listed items, select one of ""Not Contain Any Issues Or Suggestions"", ""Only Contain General Issues Or Suggestions"" or ""Contain Valid Issues Or Suggestions"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""utility/session.go""
- Reviewed Change: ""+\t\treturn err\n+\t}\n+\n+\t// returns all the staked fisherman at this session height""
- Review Comment: ""\""fishermen\"" ""

Output: List the identified issues or suggestions, and make the final classification.
","Issues or Suggestions:
- The comment ""\""fishermen\"""" seems to suggest a potential spelling or terminology correction for the comment ""returns all the staked fisherman at this session height"" to use the plural form ""fishermen"" instead of ""fisherman"".

Classification: Contain Valid Issues Or Suggestions"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160180621,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A comment for the above changes, which may includes issues or suggestions.

Task: List the issues or suggestions raised in the Review Comment, and determine whether they are valid or not.
The valid issues or suggestions should be:
- Focus on the reviewed file itself.
- Actionable: Require a change to the reviewed file.
- Specific: Includes details to locate which parts of the Reviewed Change should be modified.
(Suggestions that are expressed in a indirect manner are acceptable, including those framed as questions.)
The following are considered only general issues or suggestions, but NOT valid:
- Comments that lack any specific details, and could apply to any code review scenario.
- Comments that only request checking of resources, without requiring specific code modifications.
The following are NOT considered issues or suggestions at all:
- Items that have been implemented in the Reviewed Change, as they are the descriptions of the existing code changes.
- Suggestions that are unrelated to the reviewed file (e.g., requests for more context).
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Contain Any Issues Or Suggestions: The review comment contains no issues or suggestions.
- Only Contain General Issues Or Suggestions: The review comment only contains general issues or suggestions.
- Contain Valid Issues Or Suggestions: The review comment contains at least one valid issues or suggestions.

Output Format:
Issues or Suggestions: List valid items from the Review Comment clearly, preserving code details, including inline code blocks and multi-line code snippets, and using the original wording as much as possible.
Classification: Based on the listed items, select one of ""Not Contain Any Issues Or Suggestions"", ""Only Contain General Issues Or Suggestions"" or ""Contain Valid Issues Or Suggestions"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""e2e/tests/steps_init_test.go""
- Reviewed Change: ""+\n+var (\n+\t// validatorKeys is hydrated by the clientset with credentials for all validators\n+\tvalidatorKeys map[string]string""
- Review Comment: ""Can you add a comment on the key-value types here?""

Output: List the identified issues or suggestions, and make the final classification.
","Issues or Suggestions:
- Add a comment explaining the specific types of the key and value in the `validatorKeys` map (e.g., clarify what the string keys and string values represent)

Classification: Contain Valid Issues Or Suggestions"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184436462,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A comment for the above changes, which may includes issues or suggestions.

Task: List the issues or suggestions raised in the Review Comment, and determine whether they are valid or not.
The valid issues or suggestions should be:
- Focus on the reviewed file itself.
- Actionable: Require a change to the reviewed file.
- Specific: Includes details to locate which parts of the Reviewed Change should be modified.
(Suggestions that are expressed in a indirect manner are acceptable, including those framed as questions.)
The following are considered only general issues or suggestions, but NOT valid:
- Comments that lack any specific details, and could apply to any code review scenario.
- Comments that only request checking of resources, without requiring specific code modifications.
The following are NOT considered issues or suggestions at all:
- Items that have been implemented in the Reviewed Change, as they are the descriptions of the existing code changes.
- Suggestions that are unrelated to the reviewed file (e.g., requests for more context).
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Contain Any Issues Or Suggestions: The review comment contains no issues or suggestions.
- Only Contain General Issues Or Suggestions: The review comment only contains general issues or suggestions.
- Contain Valid Issues Or Suggestions: The review comment contains at least one valid issues or suggestions.

Output Format:
Issues or Suggestions: List valid items from the Review Comment clearly, preserving code details, including inline code blocks and multi-line code snippets, and using the original wording as much as possible.
Classification: Based on the listed items, select one of ""Not Contain Any Issues Or Suggestions"", ""Only Contain General Issues Or Suggestions"" or ""Contain Valid Issues Or Suggestions"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""p2p/background/router.go""
- Reviewed Change: ""+\t\treturn nil, err\n+\t}\n+\n+\t// NOTE_TO_SELF: `pubsub.NewRandomSub` requires a `size` arg.""
- Review Comment: ""maybe a `CONSIDERATION: If switching to NewRandomSub, there will be a max size`""

Output: List the identified issues or suggestions, and make the final classification.
","Issues or Suggestions:
- Consider the implications of using `pubsub.NewRandomSub`, specifically noting that it requires specifying a maximum size for the pubsub subscription.

Classification: Contain Valid Issues Or Suggestions

Reasoning:
- The suggestion is specific to the reviewed file and code change
- It provides an actionable insight about potential modifications when using `NewRandomSub`
- The comment highlights a technical consideration that could impact the implementation
- The suggestion is framed as a direct recommendation for the developer to think about the pubsub subscription size"
https://api.github.com/repos/xun082/create-neat/pulls/comments/1528641886,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A comment for the above changes, which may includes issues or suggestions.

Task: List the issues or suggestions raised in the Review Comment, and determine whether they are valid or not.
The valid issues or suggestions should be:
- Focus on the reviewed file itself.
- Actionable: Require a change to the reviewed file.
- Specific: Includes details to locate which parts of the Reviewed Change should be modified.
(Suggestions that are expressed in a indirect manner are acceptable, including those framed as questions.)
The following are considered only general issues or suggestions, but NOT valid:
- Comments that lack any specific details, and could apply to any code review scenario.
- Comments that only request checking of resources, without requiring specific code modifications.
The following are NOT considered issues or suggestions at all:
- Items that have been implemented in the Reviewed Change, as they are the descriptions of the existing code changes.
- Suggestions that are unrelated to the reviewed file (e.g., requests for more context).
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Contain Any Issues Or Suggestions: The review comment contains no issues or suggestions.
- Only Contain General Issues Or Suggestions: The review comment only contains general issues or suggestions.
- Contain Valid Issues Or Suggestions: The review comment contains at least one valid issues or suggestions.

Output Format:
Issues or Suggestions: List valid items from the Review Comment clearly, preserving code details, including inline code blocks and multi-line code snippets, and using the original wording as much as possible.
Classification: Based on the listed items, select one of ""Not Contain Any Issues Or Suggestions"", ""Only Contain General Issues Or Suggestions"" or ""Contain Valid Issues Or Suggestions"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""packages/core/package.json""
- Reviewed Change: ""   \""bin\"": {\n-    \""create-neat\"": \""./dist/index.js\""\n+    \""create-neat\"": \""./dist/index.js\"",\n+    \""c\"": \""./dist/index.js\""""
- Review Comment: ""what""

Output: List the identified issues or suggestions, and make the final classification.
","Issues or Suggestions: None

Classification: Not Contain Any Issues Or Suggestions

Explanation:
- The review comment ""what"" is too vague and does not provide any specific actionable feedback about the code change.
- The comment does not suggest any modifications to the reviewed file.
- The code change itself appears to be adding a shorthand alias ""c"" for the ""create-neat"" binary in the package.json file, but the review comment does not address this."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1174214813,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A comment for the above changes, which may includes issues or suggestions.

Task: List the issues or suggestions raised in the Review Comment, and determine whether they are valid or not.
The valid issues or suggestions should be:
- Focus on the reviewed file itself.
- Actionable: Require a change to the reviewed file.
- Specific: Includes details to locate which parts of the Reviewed Change should be modified.
(Suggestions that are expressed in a indirect manner are acceptable, including those framed as questions.)
The following are considered only general issues or suggestions, but NOT valid:
- Comments that lack any specific details, and could apply to any code review scenario.
- Comments that only request checking of resources, without requiring specific code modifications.
The following are NOT considered issues or suggestions at all:
- Items that have been implemented in the Reviewed Change, as they are the descriptions of the existing code changes.
- Suggestions that are unrelated to the reviewed file (e.g., requests for more context).
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Contain Any Issues Or Suggestions: The review comment contains no issues or suggestions.
- Only Contain General Issues Or Suggestions: The review comment only contains general issues or suggestions.
- Contain Valid Issues Or Suggestions: The review comment contains at least one valid issues or suggestions.

Output Format:
Issues or Suggestions: List valid items from the Review Comment clearly, preserving code details, including inline code blocks and multi-line code snippets, and using the original wording as much as possible.
Classification: Based on the listed items, select one of ""Not Contain Any Issues Or Suggestions"", ""Only Contain General Issues Or Suggestions"" or ""Contain Valid Issues Or Suggestions"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""shared/core/types/proto/challenge.proto""
- Reviewed Change: ""+\n+import \""relay.proto\"";\n+\n+message Challenge {""
- Review Comment: ""Can you add a `TECHDEBT: These structures were copied as placeholders from v0 and need to be updated to reflect changes in v1; <insert_link_to_v0_ref_here>`""

Output: List the identified issues or suggestions, and make the final classification.
","Issues or Suggestions:
- Add a technical debt comment indicating that the `Challenge` message structures are placeholders copied from v0 and need to be updated to reflect v1 changes, with a reference link to the original v0 source.

Classification: Contain Valid Issues Or Suggestions"
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1829250184,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A comment for the above changes, which may includes issues or suggestions.

Task: List the issues or suggestions raised in the Review Comment, and determine whether they are valid or not.
The valid issues or suggestions should be:
- Focus on the reviewed file itself.
- Actionable: Require a change to the reviewed file.
- Specific: Includes details to locate which parts of the Reviewed Change should be modified.
(Suggestions that are expressed in a indirect manner are acceptable, including those framed as questions.)
The following are considered only general issues or suggestions, but NOT valid:
- Comments that lack any specific details, and could apply to any code review scenario.
- Comments that only request checking of resources, without requiring specific code modifications.
The following are NOT considered issues or suggestions at all:
- Items that have been implemented in the Reviewed Change, as they are the descriptions of the existing code changes.
- Suggestions that are unrelated to the reviewed file (e.g., requests for more context).
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Contain Any Issues Or Suggestions: The review comment contains no issues or suggestions.
- Only Contain General Issues Or Suggestions: The review comment only contains general issues or suggestions.
- Contain Valid Issues Or Suggestions: The review comment contains at least one valid issues or suggestions.

Output Format:
Issues or Suggestions: List valid items from the Review Comment clearly, preserving code details, including inline code blocks and multi-line code snippets, and using the original wording as much as possible.
Classification: Based on the listed items, select one of ""Not Contain Any Issues Or Suggestions"", ""Only Contain General Issues Or Suggestions"" or ""Contain Valid Issues Or Suggestions"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""aeon/io/api.py""
- Reviewed Change: ""+                    f\""data index for {reader.pattern} contains out-of-order timestamps!\"",\n+                    stacklevel=2,""
- Review Comment: ""I suggest changing\n ```\n+                    f\""data index for {reader.pattern} contains out-of-order timestamps!\"",\n+                    stacklevel=2,\n```\n to\n```\n+                    f\""data index for {reader.pattern} contains out-of-order timestamps!\"", stacklevel=2\n```\nRevert black""

Output: List the identified issues or suggestions, and make the final classification.
","Issues or Suggestions:
- Suggest removing the line break and comma placement in the warning message to revert Black's formatting

Classification: Contain Valid Issues Or Suggestions"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1228789399,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A comment for the above changes, which may includes issues or suggestions.

Task: List the issues or suggestions raised in the Review Comment, and determine whether they are valid or not.
The valid issues or suggestions should be:
- Focus on the reviewed file itself.
- Actionable: Require a change to the reviewed file.
- Specific: Includes details to locate which parts of the Reviewed Change should be modified.
(Suggestions that are expressed in a indirect manner are acceptable, including those framed as questions.)
The following are considered only general issues or suggestions, but NOT valid:
- Comments that lack any specific details, and could apply to any code review scenario.
- Comments that only request checking of resources, without requiring specific code modifications.
The following are NOT considered issues or suggestions at all:
- Items that have been implemented in the Reviewed Change, as they are the descriptions of the existing code changes.
- Suggestions that are unrelated to the reviewed file (e.g., requests for more context).
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Contain Any Issues Or Suggestions: The review comment contains no issues or suggestions.
- Only Contain General Issues Or Suggestions: The review comment only contains general issues or suggestions.
- Contain Valid Issues Or Suggestions: The review comment contains at least one valid issues or suggestions.

Output Format:
Issues or Suggestions: List valid items from the Review Comment clearly, preserving code details, including inline code blocks and multi-line code snippets, and using the original wording as much as possible.
Classification: Based on the listed items, select one of ""Not Contain Any Issues Or Suggestions"", ""Only Contain General Issues Or Suggestions"" or ""Contain Valid Issues Or Suggestions"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""utility/servicer/module.go""
- Reviewed Change: ""-\t*/\n-\treturn nil\n+func (s *servicer) validateApplication(session *coreTypes.Session) error {\n+\t// IMPROVE: use a function to get current height from the current session""
- Review Comment: ""1. Can't we just get it directly from `Session`?\n2. If not, we should be able to do `s.GetBus().GetConsensusModule().CurrentHeight()`\n3. If neither 1 or 2 work, this is `TECHDEBT`, not `IMPROVE` IMO""

Output: List the identified issues or suggestions, and make the final classification.
","Issues or Suggestions:
1. ""Can't we just get it directly from `Session`?"" - This suggests investigating whether the current height can be directly retrieved from the Session object.
2. ""we should be able to do `s.GetBus().GetConsensusModule().CurrentHeight()`"" - This proposes an alternative method to get the current height using the service bus and consensus module.
3. ""If neither 1 or 2 work, this is `TECHDEBT`, not `IMPROVE` IMO"" - This suggests that if the proposed methods don't work, the comment should be marked as technical debt rather than an improvement note.

Classification: Contain Valid Issues Or Suggestions"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160294627,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A comment for the above changes, which may includes issues or suggestions.

Task: List the issues or suggestions raised in the Review Comment, and determine whether they are valid or not.
The valid issues or suggestions should be:
- Focus on the reviewed file itself.
- Actionable: Require a change to the reviewed file.
- Specific: Includes details to locate which parts of the Reviewed Change should be modified.
(Suggestions that are expressed in a indirect manner are acceptable, including those framed as questions.)
The following are considered only general issues or suggestions, but NOT valid:
- Comments that lack any specific details, and could apply to any code review scenario.
- Comments that only request checking of resources, without requiring specific code modifications.
The following are NOT considered issues or suggestions at all:
- Items that have been implemented in the Reviewed Change, as they are the descriptions of the existing code changes.
- Suggestions that are unrelated to the reviewed file (e.g., requests for more context).
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Contain Any Issues Or Suggestions: The review comment contains no issues or suggestions.
- Only Contain General Issues Or Suggestions: The review comment only contains general issues or suggestions.
- Contain Valid Issues Or Suggestions: The review comment contains at least one valid issues or suggestions.

Output Format:
Issues or Suggestions: List valid items from the Review Comment clearly, preserving code details, including inline code blocks and multi-line code snippets, and using the original wording as much as possible.
Classification: Based on the listed items, select one of ""Not Contain Any Issues Or Suggestions"", ""Only Contain General Issues Or Suggestions"" or ""Contain Valid Issues Or Suggestions"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""utility/unit_of_work/gov.go""
- Reviewed Change: "" \treturn typesUtil.ErrUnknownParam(paramName)\n }\n \n-func (u *baseUtilityUnitOfWork) getParameter(paramName string) (any, error) {""
- Review Comment: ""Fucking amazing""

Output: List the identified issues or suggestions, and make the final classification.
","Issues or Suggestions:
(None identified)

Classification: Not Contain Any Issues Or Suggestions

Explanation:
The review comment ""Fucking amazing"" is a generic positive exclamation that does not provide any specific issues, suggestions, or actionable feedback about the code change. It lacks any technical critique or recommendation for modification, and therefore does not meet the criteria for valid issues or suggestions in a code review."
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1826216808,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A comment for the above changes, which may includes issues or suggestions.

Task: List the issues or suggestions raised in the Review Comment, and determine whether they are valid or not.
The valid issues or suggestions should be:
- Focus on the reviewed file itself.
- Actionable: Require a change to the reviewed file.
- Specific: Includes details to locate which parts of the Reviewed Change should be modified.
(Suggestions that are expressed in a indirect manner are acceptable, including those framed as questions.)
The following are considered only general issues or suggestions, but NOT valid:
- Comments that lack any specific details, and could apply to any code review scenario.
- Comments that only request checking of resources, without requiring specific code modifications.
The following are NOT considered issues or suggestions at all:
- Items that have been implemented in the Reviewed Change, as they are the descriptions of the existing code changes.
- Suggestions that are unrelated to the reviewed file (e.g., requests for more context).
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Contain Any Issues Or Suggestions: The review comment contains no issues or suggestions.
- Only Contain General Issues Or Suggestions: The review comment only contains general issues or suggestions.
- Contain Valid Issues Or Suggestions: The review comment contains at least one valid issues or suggestions.

Output Format:
Issues or Suggestions: List valid items from the Review Comment clearly, preserving code details, including inline code blocks and multi-line code snippets, and using the original wording as much as possible.
Classification: Based on the listed items, select one of ""Not Contain Any Issues Or Suggestions"", ""Only Contain General Issues Or Suggestions"" or ""Contain Valid Issues Or Suggestions"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""aeon/dj_pipeline/analysis/block_analysis.py""
- Reviewed Change: ""     3. For each event \""A\"", find the nearest event \""B\"" within 100ms before or after the event \""A\""\n-        - These are the pellet delivery events \""B\"" associated with the previous threshold update event \""A\""\n-    4. Shift back the pellet delivery timestamps by 1 to match the pellet delivery with the previous threshold update\n+        - These are the pellet delivery events \""B\"" associated with the previous threshold update""
- Review Comment: ""Full suggestion that gets rid of noqa 501. Note that bullet lists need to start after a linebreak. When breaking the bullet description into multiple lines, these need to align with the first line for the docs to render correctly.\n```python\n    \""\""\""Gets pellet delivery timestamps for each patch threshold update within the specified time range.\n\n    1. Get all patch state update timestamps (DepletionState): let's call these events \""A\""\n\n       - Remove all events within 1 second of each other\n       - Remove all events without threshold value (NaN)\n    2. Get all pellet delivery timestamps (DeliverPellet): let's call these events \""B\""\n\n       - Find matching beam break timestamps within 1.2s after each pellet delivery\n    3. For each event \""A\"", find the nearest event \""B\"" within 100ms before or after the event \""A\""\n\n       - These are the pellet delivery events \""B\"" associated with the previous threshold update event \""A\""\n    4. Shift back the pellet delivery timestamps by 1 to match the pellet delivery with the\n       previous threshold update\n    5. Remove all threshold updates events \""A\"" without a corresponding pellet delivery event \""B\""\n\n    Args:\n        patch_key (dict): primary key for the patch\n        start (datetime): start timestamp\n        end (datetime): end timestamp\n\n    Returns:\n        pd.DataFrame: DataFrame with the following columns:\n\n        - threshold_update_timestamp (index)\n        - pellet_timestamp\n        - beam_break_timestamp\n        - offset\n        - rate\n    \""\""\""\n```\n""

Output: List the identified issues or suggestions, and make the final classification.
","Issues or Suggestions:
1. Update the docstring to improve documentation formatting
   - Add line breaks before bullet lists
   - Align multi-line bullet descriptions
   - Include a comprehensive description of the function's steps
   - Add detailed Args and Returns sections with column descriptions

2. Remove the ""noqa 501"" comment (implied by ""gets rid of noqa 501"")

Classification: Contain Valid Issues Or Suggestions"
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1820625134,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A comment for the above changes, which may includes issues or suggestions.

Task: List the issues or suggestions raised in the Review Comment, and determine whether they are valid or not.
The valid issues or suggestions should be:
- Focus on the reviewed file itself.
- Actionable: Require a change to the reviewed file.
- Specific: Includes details to locate which parts of the Reviewed Change should be modified.
(Suggestions that are expressed in a indirect manner are acceptable, including those framed as questions.)
The following are considered only general issues or suggestions, but NOT valid:
- Comments that lack any specific details, and could apply to any code review scenario.
- Comments that only request checking of resources, without requiring specific code modifications.
The following are NOT considered issues or suggestions at all:
- Items that have been implemented in the Reviewed Change, as they are the descriptions of the existing code changes.
- Suggestions that are unrelated to the reviewed file (e.g., requests for more context).
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Contain Any Issues Or Suggestions: The review comment contains no issues or suggestions.
- Only Contain General Issues Or Suggestions: The review comment only contains general issues or suggestions.
- Contain Valid Issues Or Suggestions: The review comment contains at least one valid issues or suggestions.

Output Format:
Issues or Suggestions: List valid items from the Review Comment clearly, preserving code details, including inline code blocks and multi-line code snippets, and using the original wording as much as possible.
Classification: Based on the listed items, select one of ""Not Contain Any Issues Or Suggestions"", ""Only Contain General Issues Or Suggestions"" or ""Contain Valid Issues Or Suggestions"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""aeon/dj_pipeline/create_experiments/create_socialexperiment_0.py""
- Reviewed Change: ""         ld = [jl.levenshtein_distance(subjid, x[-len(subjid) :]) for x in valid_ids]\n         return valid_ids[np.argmin(ld)]\n-    except:\n+    except ValueError:""
- Review Comment: ""Fixed bare except (E722) ""

Output: List the identified issues or suggestions, and make the final classification.
","Issues or Suggestions:
- Replace the bare `except:` with a more specific exception handling, in this case `except ValueError:`, which improves error handling and follows Python best practices by avoiding catching all possible exceptions.

Classification: Contain Valid Issues Or Suggestions"
