Comment_URL,Classification,Issue_Suggestion_List
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1171806715,2,"- the comment suggests correcting the spelling of ""fishermen"" in the code comment."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160180621,2,"- add a comment specifying the types of keys and values in the `validatorkeys` map, clarifying what the string keys and string values represent."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184436462,2,"- consider the implications of using `pubsub.newrandomsub`, specifically noting that it requires specifying a maximum size for the random subscription."
https://api.github.com/repos/xun082/create-neat/pulls/comments/1528641886,0,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1174214813,2,"- add a technical debt comment indicating that the `challenge` message structures are placeholders copied from v0 and need to be updated to reflect v1 changes, with a reference link to the original v0 source."
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1829250184,2,- suggest removing the line break and comma placement in the warning message to revert black's formatting
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1228789399,2,"1. ""can't we just get it directly from `session`?""
   - suggests investigating whether the current height can be retrieved directly from the `session` object

2. ""we should be able to do `s.getbus().getconsensusmodule().currentheight()`""
   - proposes an alternative method to retrieve the current height using the service bus and consensus module

3. ""if neither 1 or 2 work, this is `techdebt`, not `improve` imo""
   - suggests changing the comment from `improve` to `techdebt` if the proposed methods don't work"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160294627,0,
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1826216808,2,"1. update the docstring to improve documentation formatting
   - add line breaks before bullet lists
   - align multi-line bullet descriptions
   - include a comprehensive description of the function's steps
   - add detailed args and returns sections with column descriptions

2. remove the ""noqa 501"" comment (implied by ""gets rid of noqa 501"")"
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1820625134,0,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1254315920,2,- consider adding a check for `m.isstakedactor()` before checking the peerstore size in the condition
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1220512526,2,- add short comments to explain the purpose of `noninteractive` and `verbose` boolean flags in the code.
https://api.github.com/repos/hyperskill/mobile-app/pulls/comments/1479556773,2,- delete the `/*ktlint-disable*/` comment as it is no longer needed since local ktlint checks have passed successfully.
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1824905241,0,
https://api.github.com/repos/pass-culture/data-gcp/pulls/comments/1867684164,2,"1. suggestion to modify the column name `offer_data_api_call_id` to a more descriptive name, with multiple alternative naming options proposed, such as:
   - `offer_suggestion_api_id`
   - `subcategory_predict_api_id`
   - `predictive_model_call_id`
   - `suggested_offer_api_id`
   - `api_call_subcat_suggestion_id`
   - `predictive_offer_call_id`
   - `subcat_offer_api_id`
   - `suggestion_model_api_id`
   - `api_offer_prediction_id`
   - `offer_creation_api_id`

2. suggestion to clarify the content of the `offer_data_api_call_id` field and other related fields."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184450214,2,"1. rename `fisherman.json` to `fisherman1.json` to accommodate potential future additions
2. rename `config*.json` files to `validator*.json` for better semantic identification"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1220406444,2,"- suggestion to single-line the entire interface method comment, even if it exceeds 80 characters, to improve readability"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1182005752,2,"- suggestion to modify the description from ""session servicer response"" to ""session response"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1201133126,2,- suggestion to rename the variable `appmsgdata` to `pocketenvelopebz` to be more explicit about its content
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184416497,2,"- suggestion to refactor the code structure by inverting the `if` condition to improve readability:
  ```go
  if height != 0 {
    return height
  }
  currentheight := int64(s.getbus().getconsensusmodule().currentheight())
  if currentheight > 0 {
    currentheight -= 1
  }
  return currentheight
  ```"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1195874598,2,"- log a warning when an unexpected object type is encountered in the event handling, providing details about the unexpected object type."
