Comment_URL,Classification,Issue_Suggestion_List
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1171806715,2,"- the comment `// returns all the staked fisherman at this session height` uses the singular ""fisherman"" instead of the plural ""fishermen"" as indicated by the review comment (""\""fishermen\"" "")."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160180621,2,"- ""can you add a comment on the key-value types here?"" (suggestion to add a comment clarifying the types of keys and values in `validatorkeys map[string]string`, which is specific and actionable within the reviewed file.)"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184436462,2,"- `consideration: if switching to newrandomsub, there will be a max size`"
https://api.github.com/repos/xun082/create-neat/pulls/comments/1528641886,0,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1174214813,2,- add a `techdebt: these structures were copied as placeholders from v0 and need to be updated to reflect changes in v1; <insert_link_to_v0_ref_here>` comment to highlight technical debt related to the copied structures (imported `relay.proto` and the `challenge` message definition).
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1829250184,2,"- ""i suggest changing\n ```\n+                    f\""data index for {reader.pattern} contains out-of-order timestamps!\"",\n+                    stacklevel=2,\n```\n to\n```\n+                    f\""data index for {reader.pattern} contains out-of-order timestamps!\"", stacklevel=2\n```\nrevert black"" (specific suggestion to modify the formatting of the added lines by placing `stacklevel=2` on the same line as the f-string instead of a new line, with an implied code structure change.)"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1228789399,2,"1. ""can't we just get it directly from `session`?""
2. ""if not, we should be able to do `s.getbus().getconsensusmodule().currentheight()`""
3. ""if neither 1 or 2 work, this is `techdebt`, not `improve` imo"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160294627,0,
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1826216808,2,"- when breaking the bullet description into multiple lines, these need to align with the first line for the docs to render correctly. example alignment in the suggestion:  
  ```python
    4. shift back the pellet delivery timestamps by 1 to match the pellet delivery with the\n
       previous threshold update
  ```"
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1820625134,0,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1254315920,2,"need to add a check for `m.isstakedactor()` in the conditional where `m.stakedactorrouter.getpeerstore().size() == 0` is evaluated, as the current code may be accessing `stakedactorrouter` without verifying if the actor is actually staked."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1220512526,2,"- ""can you add a very short comment for each of them?"" (specific request to add inline comments for the `noninteractive bool` and `verbose bool` fields in the reviewed file)"
https://api.github.com/repos/hyperskill/mobile-app/pulls/comments/1479556773,2,"- ""delete `/*ktlint-disable*/`"" (specific suggestion to remove a precisely identified code element from the reviewed file)"
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1824905241,2,"- ""revert this change as well?"" refers to removing the added lines `import datajoint as dj` and `import pandas as pd` in the reviewed file."
https://api.github.com/repos/pass-culture/data-gcp/pulls/comments/1867684164,2,"- `offer_data_api_call_id` ⇾ `jsonpayload.extra.offer_data_api_call_id` (suggests correcting the column reference to include `jsonpayload.extra.`).
- suggestions to rename `offer_data_api_call_id` with more descriptive alternatives like `offer_suggestion_api_id`, `subcategory_predict_api_id`, `predictive_model_call_id`, etc."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184450214,2,"1. ""can you rename `fisherman.json` to `fisherman1.json` in case we add more; ditto for the servicer"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1220406444,2,"- ""i feel like single lining this whole statement (even if it's > 80 chars) will make it easier to read"" (specific suggestion to convert the multi-line `// update returns...` comment into a single-line comment despite line length)"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1182005752,2,- the review comment suggests changing the line `description: session servicer response` to `description: session response` to improve clarity. this is a specific and actionable modification to the reviewed file.
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1201133126,2,"- suggestion to rename variable `appmsgdata` to `pocketenvelopebz` in the line `appmsgdata, err := rtr.handleraintreemsg(data)` for better explicitness."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184416497,2,"- the reviewer suggests changing the code structure to improve readability by flipping the condition to check `if height != 0` first, returning `height` immediately, and reducing nesting. the exact code modification is provided, including moving the `return height` earlier and adjusting the logic flow."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1195874598,2,"- ""log a warning here with details"" when `!ok` in the code `if !ok { continue }` to handle cases where the type assertion fails, providing more visibility into unexpected objects."
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1581104089,2,"- ""can we drop the `return` statements in the fixtures that do not return anything?"" (specific suggestion to remove the unnecessary `return` statement in the fixture code, as implied by the `+    return` line in the reviewed change. directly references the reviewed file and code structure.)"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1173565356,2,"- ""what do you think about multi-lining this signature for readability?"" (specific suggestion to modify the function signature formatting in the reviewed code)"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1228800495,2,- suggestion to add a comment `// addtest: need to add more unit tests for the numerical portion of this functionality` directly in the function declaration of `calculateservicerappsessiontokens` in the reviewed file.
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1220445042,2,"- rename `utilityconfig` to `relayminingvolumeaccuracy`.
- point to `https://arxiv.org/abs/2305.10672` in the code."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1251317366,2,"- suggestion to change the line `_discuss(team): if you feel this needs a diagram, please reach out to the team for additional details._` to `_note: if you (the reader) feel this needs a diagram, please reach out to the team for additional details._`, modifying the wording and addressing ""the reader"" instead of ""team""."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184471728,2,"- the parameter name `wg` in the `readsubscription` function should be renamed to match the name of the argument passed to it, to improve code readability and flow (e.g., align with the caller's variable name)."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1206007090,2,"- suggestion to decouple ""getsession"" and ""getservicer"" or modify `fetchservicer` to accept a pre-fetched session instead of returning a session from a function named `fetchservicer`, as this naming appears inconsistent with its behavior."
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1820652338,0,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1174221617,2,"- suggestion to change:
```go
+\t}
```
to
```go
+\t}
+\tdefer readctx.release()
```
- suggestion applies ""ditto everywhere else"" (implying similar code blocks in the same file should also include `defer readctx.release()` after error checks)."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1251330088,0,
