Comment_URL,Classification,Issue_Suggestion_List
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1171806715,2,"the term ""fisherman"" should be pluralized to ""fishermen"" in the comment: `// returns all the staked fisherman at this session height`."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160180621,2,"""can you add a comment on the key-value types here?"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184436462,2,"- `consideration: if switching to newrandomsub, there will be a max size`"
https://api.github.com/repos/xun082/create-neat/pulls/comments/1528641886,0,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1174214813,2,"- add a `techdebt` comment indicating that the structures were copied as placeholders from v0 and need to be updated to reflect changes in v1, including a link to the v0 reference."
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1829250184,2,"- ""i suggest changing\n ```\n+                    f\""data index for {reader.pattern} contains out-of-order timestamps!\"",\n+                    stacklevel=2,\n```\n to\n```\n+                    f\""data index for {reader.pattern} contains out-of-order timestamps!\"", stacklevel=2\n```\nrevert black"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1228789399,2,"1. ""can't we just get it directly from `session`?""
2. ""if not, we should be able to do `s.getbus().getconsensusmodule().currentheight()`""
3. ""if neither 1 or 2 work, this is `techdebt`, not `improve` imo"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160294627,0,
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1826216808,2,"1. ""full suggestion that gets rid of noqa 501. note that bullet lists need to start after a linebreak. when breaking the bullet description into multiple lines, these need to align with the first line for the docs to render correctly.""
2. the provided python code block shows the correct formatting for bullet lists and multi-line descriptions in docstrings, which should be followed to ensure proper rendering."
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1820625134,2,"- ""fixed bare except (e722)"" is a valid suggestion as it specifically points out the change from a bare except to catching a specific valueerror, which is actionable and specific to the reviewed change."
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1254315920,2,"""need to check `m.isstakedactor()` here..."""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1220512526,2,"""can you add a very short comment for each of them?"" (referring to `noninteractive bool` and `verbose bool`)"
