Comment_URL,Classification,Issue_Suggestion_List
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1171806715,0,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160180621,2,"- ""can you add a comment on the key-value types here?"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184436462,1,
https://api.github.com/repos/xun082/create-neat/pulls/comments/1528641886,0,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1174214813,2,"- ""can you add a `techdebt: these structures were copied as placeholders from v0 and need to be updated to reflect changes in v1; <insert_link_to_v0_ref_here>`"""
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1829250184,2,"- ""i suggest changing\n ```\n+                    f\""data index for {reader.pattern} contains out-of-order timestamps!\"",\n+                    stacklevel=2,\n```\n to\n```\n+                    f\""data index for {reader.pattern} contains out-of-order timestamps!\"", stacklevel=2\n```\nrevert black"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1228789399,2,"1. ""can't we just get it directly from `session`?""
2. ""if not, we should be able to do `s.getbus().getconsensusmodule().currentheight()`""
3. ""if neither 1 or 2 work, this is `techdebt`, not `improve` imo"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160294627,0,
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1826216808,2,"1. ""note that bullet lists need to start after a linebreak.""
2. ""when breaking the bullet description into multiple lines, these need to align with the first line for the docs to render correctly."""
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1820625134,2,"- ""fixed bare except (e722)"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1254315920,1,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1220512526,2,"- ""can you add a very short comment for each of them?"""
https://api.github.com/repos/hyperskill/mobile-app/pulls/comments/1479556773,2,"- ""i think you can delete `/*ktlint-disable*/`, local execution `./gradlew ktlintcheck` passed successfully"""
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1824905241,0,
https://api.github.com/repos/pass-culture/data-gcp/pulls/comments/1867684164,2,"- ""`offer_data_api_call_id` ⇾ `jsonpayload.extra.offer_data_api_call_id`""
- ""pourrait-on expliciter ce que contient ce champ ainsi que les suivants :""
- ""here are some alternative column name suggestions: offer_suggestion_api_id, subcategory_predict_api_id, predictive_model_call_id, suggested_offer_api_id, api_call_subcat_suggestion_id, predictive_offer_call_id, subcat_offer_api_id, suggestion_model_api_id, api_offer_prediction_id, offer_creation_api_id"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184450214,1,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1220406444,1,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1182005752,2,"- i suggest changing
  ``` 
  +          description: session servicer response 
  ```
  to
  ```
  +          description: session response 
  ```"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1201133126,2,"- ""`s/appmsgdata/pocketenvelopebz` ?\n\ni realize you were staying consistent with what we had before but doesn't hurt to be more explicit seeing how we're already here."""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184416497,2,"1. ""i suggest changing\n ```\n+\tif height == 0 {\n+\t\tcurrentheight := int64(s.getbus().getconsensusmodule().currentheight())\n+\t\tif currentheight > 0 {\n+\t\t\tcurrentheight -= 1\n+\t\t}\n+\t\treturn currentheight\n+\t}\n+\treturn height\n```\n to\n```\n+\tif height != 0 {\n+\t\treturn height\n+\t}\n+\tcurrentheight := int64(s.getbus().getconsensusmodule().currentheight())\n+\tif currentheight > 0 {\n+\t\tcurrentheight -= 1\n+\t}\n+\treturn currentheight\n```"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1195874598,2,"- ""let's log a warning here with details"""
