Comment_URL,Classification,Issue_Suggestion_List
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1171806715,2,"- ""fishermen"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160180621,2,can you add a comment on the key-value types here?
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184436462,2,"maybe a `consideration: if switching to newrandomsub, there will be a max size`"
https://api.github.com/repos/xun082/create-neat/pulls/comments/1528641886,0,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1174214813,2,can you add a `techdebt: these structures were copied as placeholders from v0 and need to be updated to reflect changes in v1; <insert_link_to_v0_ref_here>`
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1829250184,2,"i suggest changing
```
+                    f""data index for {reader.pattern} contains out-of-order timestamps!"",
+                    stacklevel=2,
```
to
```
+                    f""data index for {reader.pattern} contains out-of-order timestamps!"", stacklevel=2
```"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1228789399,2,"1. ""can't we just get it directly from `session`?""
2. ""if not, we should be able to do `s.getbus().getconsensusmodule().currentheight()`""
3. ""if neither 1 or 2 work, this is `techdebt`, not `improve` imo"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160294627,0,
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1826216808,2,"- ""note that bullet lists need to start after a linebreak. when breaking the bullet description into multiple lines, these need to align with the first line for the docs to render correctly."""
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1820625134,0,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1254315920,2,"- ""need to check `m.isstakedactor()` here..."""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1220512526,2,can you add a very short comment for each of them?
https://api.github.com/repos/hyperskill/mobile-app/pulls/comments/1479556773,2,"i think yo can delete `/*ktlint-disable*/`, local execution `./gradlew ktlintcheck` passed successfully"
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1824905241,2,"- ""would you revert this change as well?"""
https://api.github.com/repos/pass-culture/data-gcp/pulls/comments/1867684164,2,"- ""`offer_data_api_call_id` ⇾ `jsonpayload.extra.offer_data_api_call_id`""
- ""pourrait-on expliciter ce que contient ce champ ainsi que les suivants :"""
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184450214,2,"1. ""can you rename `fisherman.json` to `fisherman1.json` in case we add more; ditto for the servicer""
2. ""can you rename the `config*.json` to `validator*.json` so everything is semantically identified"""
