Comment_URL,Classification,Issue_Suggestion_List
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1171806715,0,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160180621,2,- “can you add a comment on the key-value types here?”
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184436462,2,"- “consideration: if switching to `newrandomsub`, there will be a max size”"
https://api.github.com/repos/xun082/create-neat/pulls/comments/1528641886,0,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1174214813,2,- can you add a `techdebt: these structures were copied as placeholders from v0 and need to be updated to reflect changes in v1; <insert_link_to_v0_ref_here>`
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1829250184,2,"- change the following lines in `aeon/io/api.py`:
  ```diff
  -                    f""data index for {reader.pattern} contains out-of-order timestamps!"",
  -                    stacklevel=2,
  ```
  to
  ```diff
  +                    f""data index for {reader.pattern} contains out-of-order timestamps!"", stacklevel=2
  ```
  (i.e., revert black’s formatting for these two lines)"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1228789399,2,"1. can’t we just get it directly from `session`?
2. if not, we should be able to do `s.getbus().getconsensusmodule().currentheight()`
3. if neither 1 or 2 work, this is `techdebt`, not `improve` imo"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1160294627,0,
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1826216808,2,"1. remove the `# noqa: 501` directive by reflowing the docstring.
2. ensure bullet lists start after a blank line (i.e. insert a linebreak before each list).
3. when breaking a bullet description into multiple lines, align subsequent lines with the first line of that bullet so the docs render correctly."
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1820625134,0,
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1254315920,2,- need to check `m.isstakedactor()` here...
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1220512526,2,- “can you add a very short comment for each of them?”
https://api.github.com/repos/hyperskill/mobile-app/pulls/comments/1479556773,2,"- delete the `/*ktlint-disable*/` line, since `./gradlew ktlintcheck` passes successfully without it."
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1824905241,2,- “@milagrosmarin would you revert this change as well?” (i.e. remove the added lines `import datajoint as dj` and `import pandas as pd` from aeon/dj_pipeline/streams.py)
https://api.github.com/repos/pass-culture/data-gcp/pulls/comments/1867684164,2,"1. replace the source column  
   ```sql
   cast(offer_data_api_call_id as string) as offer_data_api_call_id
   ```  
   with  
   ```sql
   cast(jsonpayload.extra.offer_data_api_call_id as string) as offer_data_api_call_id
   ```
2. rename the `offer_data_api_call_id` column to a more descriptive name. for example, choose one of:  
   ```
   offer_suggestion_api_id
   subcategory_predict_api_id
   predictive_model_call_id
   suggested_offer_api_id
   api_call_subcat_suggestion_id
   predictive_offer_call_id
   subcat_offer_api_id
   suggestion_model_api_id
   api_offer_prediction_id
   offer_creation_api_id
   ```"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1184450214,2,"1. rename `fisherman.json` to `fisherman1.json` (and likewise rename the corresponding servicer file)  
2. rename all `config*.json` files to `validator*.json` for clearer semantic identification"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1220406444,2,1. “optional nit: i feel like single lining this whole statement (even if it's > 80 chars) will make it easier to read.”
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1182005752,2,"1. i suggest changing
   ```
   +          description: session servicer response
   ```
   to
   ```
   +          description: session response
   ```"
https://api.github.com/repos/pokt-network/pocket/pulls/comments/1201133126,2,"- rename the variable `appmsgdata` to `pocketenvelopebz` in the line:
  ```
  appmsgdata, err := rtr.handleraintreemsg(data)
  ```"
