Comment_URL,GPT_Input,GPT_Output
https://api.github.com/repos/saiqulhaq/dynamic_links/pulls/comments/1440512678,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A list of issues or suggestions for the above changes.
Subsequent Code Changes: A cumulative code changes made to the reviewed file after the review.

Task: For each item in the Review Comment, analyze whether it has been addressed by the Subsequent Code Changes by determining if:
- The issue has been completely resolved.
- The suggestion has been completely followed. (If the suggestion includes concrete code examples, it does not need to be followed exactly. As long as the code change serves the same intended purpose, the suggestion can be considered addressed.)
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Addressed: None of the issues or suggestions have been addressed by the Subsequent Code Changes.
- Partly Addressed: Some but not all issues or suggestions have been addressed.
- Fully Addressed: All issues or suggestions have been addressed.
If the code relevant to the Review Comment has been completely removed in the Subsequent Code Changes, and it is not possible to determine whether the removal was an intentional response to the comment, you can classify it as ""Not Enough Information"".

Output Format:
Analysis details:
- Addressed Items: List the issues or suggestions that have been addressed.
- Unaddressed Items: List the issues or suggestions that have not been addressed.
Classification: Based on the Addressed Items and Unaddressed Items, select one of ""Not Addressed"", ""Partly Addressed"", ""Fully Addressed"", or ""Not Enough Information"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""lib/dynamic_links/strategy_factory.rb""
- Reviewed Change: ""+        ensure_nanoid_available\n+        ShorteningStrategies::NanoIDStrategy.new""
- Review Comment: ""- it would be better if we could also pass the `redis_config` to the `nanoidstrategy` constructor as we do for `rediscounterstrategy`, even if it's not used right now. it will make the code more consistent and future-proof in case `nanoidstrategy` needs to use redis in the future.\n```diff\n- shorteningstrategies::nanoidstrategy.new\n+ shorteningstrategies::nanoidstrategy.new(dynamiclinks.configuration.redis_config)\n```""

Subsequent Code Changes: Here are the cumulative modifications made to the reviewed file ""lib/dynamic_links/strategy_factory.rb"" after the Code Review.
""--- \n\n+++ \n\n@@ -33,7 +33,13 @@\n\n       begin\n         require 'redis'\n       rescue LoadError\n-        Rails.logger.warn 'Missing dependency: Please add \""redis\"" to your Gemfile to use RedisCounterStrategy.'\n+        raise 'Missing dependency: Please add \""redis\"" to your Gemfile to use RedisCounterStrategy.'\n+      end\n+\n+      begin\n+        require 'connection_pool'\n+      rescue LoadError\n+        raise 'Missing dependency: Please add \""connection_pool\"" to your Gemfile to use RedisCounterStrategy.'\n       end\n     end\n   end""

Output: List the addressed and unaddressed items, and make the final classification.
","Analysis details:
- Addressed Items: None.
- Unaddressed Items: The suggestion to pass dynamiclinks.configuration.redis_config to the NanoIDStrategy constructor.
Classification: Not Addressed"
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1777229984,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A list of issues or suggestions for the above changes.
Subsequent Code Changes: A cumulative code changes made to the reviewed file after the review.

Task: For each item in the Review Comment, analyze whether it has been addressed by the Subsequent Code Changes by determining if:
- The issue has been completely resolved.
- The suggestion has been completely followed. (If the suggestion includes concrete code examples, it does not need to be followed exactly. As long as the code change serves the same intended purpose, the suggestion can be considered addressed.)
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Addressed: None of the issues or suggestions have been addressed by the Subsequent Code Changes.
- Partly Addressed: Some but not all issues or suggestions have been addressed.
- Fully Addressed: All issues or suggestions have been addressed.
If the code relevant to the Review Comment has been completely removed in the Subsequent Code Changes, and it is not possible to determine whether the removal was an intentional response to the comment, you can classify it as ""Not Enough Information"".

Output Format:
Analysis details:
- Addressed Items: List the issues or suggestions that have been addressed.
- Unaddressed Items: List the issues or suggestions that have not been addressed.
Classification: Based on the Addressed Items and Unaddressed Items, select one of ""Not Addressed"", ""Partly Addressed"", ""Fully Addressed"", or ""Not Enough Information"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""aeon/io/reader.py""
- Reviewed Change: ""+    def class_int2str(data: pd.DataFrame, classes: list[str]) -> pd.DataFrame:\n         \""\""\""Converts a class integer in a tracking data dataframe to its associated string (subject id).\""\""\""\n-        if config_file.stem == \""confmap_config\"":  # SLEAP\n-            with open(config_file) as f:\n-                config = json.load(f)\n-            try:\n-                heads = config[\""model\""][\""heads\""]\n-                classes = util.find_nested_key(heads, \""classes\"")\n-            except KeyError as err:\n-                raise KeyError(f\""Cannot find classes in {config_file}.\"") from err\n-            for i, subj in enumerate(classes):\n-                data.loc[data[\""identity\""] == i, \""identity\""] = subj\n+        identity = data[\""identity\""].astype(\""string\"")\n+        for i, subj in enumerate(classes):\n+            identity.loc[data[identity.name] == i] = subj\n+        data[identity.name] = identity""
- Review Comment: ""- the current implementation of class_int2str method has a complexity of o(n^2) because for each class, it iterates over the entire dataframe to replace the integer identity with the string identity. this could be optimized by creating a mapping dictionary and using the pandas replace function, which would reduce the complexity to o(n).""

Subsequent Code Changes: Here are the cumulative modifications made to the reviewed file ""aeon/io/reader.py"" after the Code Review.
""--- \n\n+++ \n\n@@ -304,20 +304,36 @@\n\n     \""\""\""\n \n     def __init__(self, pattern: str, model_root: str = \""/ceph/aeon/aeon/data/processed\""):\n-        \""\""\""Pose reader constructor.\""\""\""\n-        # `pattern` for this reader should typically be '<hpcnode>_<jobid>*'\n+        \""\""\""Pose reader constructor.\n+\n+        The pattern for this reader should typically be `<device>_<hpcnode>_<jobid>*`.\n+        If a register prefix is required, the pattern should end with a trailing\n+        underscore, e.g. `Camera_202_*`. Otherwise, the pattern should include a\n+        common prefix for the pose model folder excluding the trailing underscore,\n+        e.g. `Camera_model-dir*`.\n+        \""\""\""\n         super().__init__(pattern, columns=None)\n         self._model_root = model_root\n+        self._pattern_offset = pattern.rfind(\""_\"") + 1\n \n     def read(self, file: Path) -> pd.DataFrame:\n         \""\""\""Reads data from the Harp-binarized tracking file.\""\""\""\n         # Get config file from `file`, then bodyparts from config file.\n-        model_dir = Path(*Path(file.stem.replace(\""_\"", \""/\"")).parent.parts[-4:])\n-        config_file_dir = file.parent / model_dir\n-        if not config_file_dir.exists():\n-            config_file_dir = Path(self._model_root) / model_dir\n-            if not config_file_dir.exists():\n-                raise FileNotFoundError(f\""Cannot find model dir {config_file_dir}\"")\n+        model_dir = Path(file.stem[self._pattern_offset :].replace(\""_\"", \""/\"")).parent\n+\n+        # Check if model directory exists in local or shared directories.\n+        # Local directory is prioritized over shared directory.\n+        local_config_file_dir = file.parent / model_dir\n+        shared_config_file_dir = Path(self._model_root) / model_dir\n+        if local_config_file_dir.exists():\n+            config_file_dir = local_config_file_dir\n+        elif shared_config_file_dir.exists():\n+            config_file_dir = shared_config_file_dir\n+        else:\n+            raise FileNotFoundError(\n+                f\""\""\""Cannot find model dir in either local ({local_config_file_dir}) \\\n+                    or shared ({shared_config_file_dir}) directories\""\""\""\n+            )\n \n         config_file = self.get_config_file(config_file_dir)\n         identities = self.get_class_names(config_file)\n@@ -412,10 +428,10 @@\n\n     @staticmethod\n     def class_int2str(data: pd.DataFrame, classes: list[str]) -> pd.DataFrame:\n         \""\""\""Converts a class integer in a tracking data dataframe to its associated string (subject id).\""\""\""\n-        identity = data[\""identity\""].astype(\""string\"")\n-        for i, subj in enumerate(classes):\n-            identity.loc[data[identity.name] == i] = subj\n-        data[identity.name] = identity\n+        if not classes:\n+            raise ValueError(\""Classes list cannot be None or empty.\"")\n+        identity_mapping = dict(enumerate(classes))\n+        data[\""identity\""] = data[\""identity\""].replace(identity_mapping)\n         return data\n \n     @classmethod""

Output: List the addressed and unaddressed items, and make the final classification.
","Analysis details:
- Addressed Items: The suggestion to optimize the method by creating a mapping dictionary and using pandas replace function has been followed. The subsequent code replaces the iterative loop with constructing identity_mapping = dict(enumerate(classes)) and then using data[""identity""].replace(identity_mapping), which directly addresses the performance concern.
- Unaddressed Items: None

Classification: Fully Addressed"
https://api.github.com/repos/mrako/week-number/pulls/comments/1236833555,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A list of issues or suggestions for the above changes.
Subsequent Code Changes: A cumulative code changes made to the reviewed file after the review.

Task: For each item in the Review Comment, analyze whether it has been addressed by the Subsequent Code Changes by determining if:
- The issue has been completely resolved.
- The suggestion has been completely followed. (If the suggestion includes concrete code examples, it does not need to be followed exactly. As long as the code change serves the same intended purpose, the suggestion can be considered addressed.)
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Addressed: None of the issues or suggestions have been addressed by the Subsequent Code Changes.
- Partly Addressed: Some but not all issues or suggestions have been addressed.
- Fully Addressed: All issues or suggestions have been addressed.
If the code relevant to the Review Comment has been completely removed in the Subsequent Code Changes, and it is not possible to determine whether the removal was an intentional response to the comment, you can classify it as ""Not Enough Information"".

Output Format:
Analysis details:
- Addressed Items: List the issues or suggestions that have been addressed.
- Unaddressed Items: List the issues or suggestions that have not been addressed.
Classification: Based on the Addressed Items and Unaddressed Items, select one of ""Not Addressed"", ""Partly Addressed"", ""Fully Addressed"", or ""Not Enough Information"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""src/index.js""
- Reviewed Change: ""+    setDate(isNaN(date) ? new Date() : new Date(date));\n+  }, []);\n+\n+  if (date) {""
- Review Comment: ""- instead of checking for `date`, you can use a ternary operator inside the jsx to conditionally render the week number or a default value.""

Subsequent Code Changes: Here are the cumulative modifications made to the reviewed file ""src/index.js"" after the Code Review.
""--- \n\n+++ \n\n@@ -8,9 +8,9 @@\n\n \n   useEffect(() => {\n     const searchParams = new URLSearchParams(window.location.search);\n-    const date = Date.parse(searchParams.get('date'));\n+    const dateParam = Date.parse(searchParams.get('date'));\n \n-    setDate(isNaN(date) ? new Date() : new Date(date));\n+    setDate(isNaN(dateParam) ? new Date() : new Date(dateParam));\n   }, []);\n \n   if (date) {""

Output: List the addressed and unaddressed items, and make the final classification.
","Analysis details:
- Addressed Items: None.
- Unaddressed Items: The suggestion to use a ternary operator within the JSX for conditionally rendering the week number or a default value has not been addressed.
Classification: Not Addressed"
https://api.github.com/repos/brisen-app/brisen-client/pulls/comments/1536663252,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A list of issues or suggestions for the above changes.
Subsequent Code Changes: A cumulative code changes made to the reviewed file after the review.

Task: For each item in the Review Comment, analyze whether it has been addressed by the Subsequent Code Changes by determining if:
- The issue has been completely resolved.
- The suggestion has been completely followed. (If the suggestion includes concrete code examples, it does not need to be followed exactly. As long as the code change serves the same intended purpose, the suggestion can be considered addressed.)
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Addressed: None of the issues or suggestions have been addressed by the Subsequent Code Changes.
- Partly Addressed: Some but not all issues or suggestions have been addressed.
- Fully Addressed: All issues or suggestions have been addressed.
If the code relevant to the Review Comment has been completely removed in the Subsequent Code Changes, and it is not possible to determine whether the removal was an intentional response to the comment, you can classify it as ""Not Enough Information"".

Output Format:
Analysis details:
- Addressed Items: List the issues or suggestions that have been addressed.
- Unaddressed Items: List the issues or suggestions that have not been addressed.
Classification: Based on the Addressed Items and Unaddressed Items, select one of ""Not Addressed"", ""Partly Addressed"", ""Fully Addressed"", or ""Not Enough Information"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: "".github/workflows/pr-review.yml""
- Reviewed Change: ""+    runs-on: ubuntu-latest\n+    steps:\n+      - uses: coderabbitai/ai-pr-reviewer@latest\n+        env:\n+          GITHUB_TOKEN: ${{ secrets.GITHUB_TOKEN }}\n+          OPENAI_API_KEY: ${{ secrets.OPENAI_API_KEY }}\n+        with:\n+          debug: false\n+          review_simple_changes: false\n+          review_comment_lgtm: false\n+          openai_heavy_model: gpt-3.5-turbo""
- Review Comment: ""1. line 13: the concurrency configuration seems incomplete and contains a syntax error. it needs to be corrected for proper functionality.\n\n2. lines 30-31: the boolean values for review_simple_changes and review_comment_lgtm are set to false. ensure these settings align with the intended behavior of the workflow.""

Subsequent Code Changes: The reviewed "".github/workflows/pr-review.yml"" file has been renamed as "".github/workflows/pr-summary.yml"". Here are the cumulative modifications made to the renamed file "".github/workflows/pr-summary.yml"" after the Code Review.
""--- \n\n+++ \n\n@@ -1,14 +1,14 @@\n\n-name: ✅ Code Review\n+name: 📋 PR Summary\n \n permissions:\n   contents: read\n   pull-requests: write\n \n on:\n+  workflow_dispatch:\n   pull_request:\n-  pull_request_review_comment:\n     types:\n-      - created\n+      - opened\n \n concurrency:\n   group: ${{ github.repository }}-${{ github.event.number || github.head_ref ||\n@@ -17,8 +17,8 @@\n\n   cancel-in-progress: ${{ github.event_name != 'pull_request_review_comment' }}\n \n jobs:\n-  review:\n-    name: 🐰 CodeRabbit review and summary\n+  summarize:\n+    name: 🐰 CodeRabbit summary\n     runs-on: ubuntu-latest\n     steps:\n       - uses: coderabbitai/ai-pr-reviewer@latest\n@@ -29,11 +29,17 @@\n\n           debug: false\n           review_simple_changes: false\n           review_comment_lgtm: false\n-          openai_heavy_model: gpt-3.5-turbo\n+          disable_review: true\n           summarize: |\n             Provide your final response in markdown with the following content:\n \n-            - **Summary**: A high-level summary of the overall change instead of specific files, within 50 words.\n-            - **Changes**: A summary of changes made to each file. Format this by having each file name in H3 and the changes in a markdown list.\n+            - **Walkthrough**: A high-level summary of the overall change instead of \n+              specific files within 80 words.\n+            - **Changes**: A markdown table of files and their summaries. Group files \n+              with similar changes together into a single row to save space.\n+            - **Quote**: Below the changes, include a whimsical, short poem, related\n+              to the changes that urges the PR author to not commiting suicide. Format the poem as a quote using \n+              the \"">\"" symbol and feel free to use emojis where relevant.\n \n-            Avoid additional commentary as this summary will be added as a comment on the GitHub pull request. Use the titles \""Summary\"", and \""Changes\"" and they must be H2.\n+            Avoid additional commentary as this summary will be added as a comment on the \n+            GitHub pull request. Use the titles \""Walkthrough\"" and \""Changes\"" and they must be H2.""

Output: List the addressed and unaddressed items, and make the final classification.
","Analysis details:
- Addressed Items: None.
- Unaddressed Items:
  • The concurrency configuration (line 13) remains unchanged.
  • The boolean values for review_simple_changes and review_comment_lgtm were not modified.
Classification: Not Addressed"
https://api.github.com/repos/lightspeedwp/tour-operator/pulls/comments/1893912146,Not contain specific items.,Not contain specific items.
https://api.github.com/repos/saiqulhaq/dynamic_links/pulls/comments/1451584993,Not contain specific items.,Not contain specific items.
https://api.github.com/repos/aidar-freeed/ai-codereviewer/pulls/comments/1174426210,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A list of issues or suggestions for the above changes.
Subsequent Code Changes: A cumulative code changes made to the reviewed file after the review.

Task: For each item in the Review Comment, analyze whether it has been addressed by the Subsequent Code Changes by determining if:
- The issue has been completely resolved.
- The suggestion has been completely followed. (If the suggestion includes concrete code examples, it does not need to be followed exactly. As long as the code change serves the same intended purpose, the suggestion can be considered addressed.)
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Addressed: None of the issues or suggestions have been addressed by the Subsequent Code Changes.
- Partly Addressed: Some but not all issues or suggestions have been addressed.
- Fully Addressed: All issues or suggestions have been addressed.
If the code relevant to the Review Comment has been completely removed in the Subsequent Code Changes, and it is not possible to determine whether the removal was an intentional response to the comment, you can classify it as ""Not Enough Information"".

Output Format:
Analysis details:
- Addressed Items: List the issues or suggestions that have been addressed.
- Unaddressed Items: List the issues or suggestions that have not been addressed.
Classification: Based on the Addressed Items and Unaddressed Items, select one of ""Not Addressed"", ""Partly Addressed"", ""Fully Addressed"", or ""Not Enough Information"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""src/main.ts""
- Reviewed Change: ""+      prDetails.pull_number\n+    );\n+  } else if (process.env.GITHUB_EVENT_NAME === \""push\"") {\n+    console.log(\""Push event\"");""
- Review Comment: ""- consider using `core.debug()` instead of `console.log()` for better integration with github actions.""

Subsequent Code Changes: Here are the cumulative modifications made to the reviewed file ""src/main.ts"" after the Code Review.
""--- \n\n+++ \n\n@@ -196,26 +196,19 @@\n\n async function main() {\n   const prDetails = await getPRDetails();\n   let diff: string | null;\n-  console.log(\""Running the action...\"");\n-  console.log(\""Event name:\"", process.env.GITHUB_EVENT_NAME);\n-  console.log(\""PR event path:\"");\n-  console.log(process.env.GITHUB_EVENT_PATH);\n-  if (process.env.GITHUB_EVENT_NAME === \""pull_request\"") {\n-    console.log(\""Pull request event\"");\n+  const eventData = JSON.parse(\n+    readFileSync(process.env.GITHUB_EVENT_PATH ?? \""\"", \""utf8\"")\n+  );\n+\n+  if (eventData.action === \""opened\"") {\n     diff = await getDiff(\n       prDetails.owner,\n       prDetails.repo,\n       prDetails.pull_number\n     );\n-  } else if (process.env.GITHUB_EVENT_NAME === \""push\"") {\n-    console.log(\""Push event\"");\n-    const pushEvent = JSON.parse(\n-      readFileSync(process.env.GITHUB_EVENT_PATH || \""\"", \""utf8\"")\n-    );\n-    console.log(\""Push event:\"");\n-    console.log(pushEvent);\n-    const newBaseSha = pushEvent.before;\n-    const newHeadSha = pushEvent.after;\n+  } else if (eventData.action === \""synchronize\"") {\n+    const newBaseSha = eventData.before;\n+    const newHeadSha = eventData.after;\n \n     const response = await octokit.repos.compareCommits({\n       owner: prDetails.owner,\n@@ -229,8 +222,6 @@\n\n           .request({ url: response.data.diff_url })\n           .then((res) => res.data)\n       : null;\n-    console.log(\""Diff:\"");\n-    console.log(diff);\n   } else {\n     console.log(\""Unsupported event:\"", process.env.GITHUB_EVENT_NAME);\n     return;""

Output: List the addressed and unaddressed items, and make the final classification.
","Analysis details:
- Addressed Items: None.
- Unaddressed Items: ""consider using core.debug() instead of console.log() for better integration with github actions.""
Classification: Not Addressed"
https://api.github.com/repos/SainsburyWellcomeCentre/aeon_mecha/pulls/comments/1322223359,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A list of issues or suggestions for the above changes.
Subsequent Code Changes: A cumulative code changes made to the reviewed file after the review.

Task: For each item in the Review Comment, analyze whether it has been addressed by the Subsequent Code Changes by determining if:
- The issue has been completely resolved.
- The suggestion has been completely followed. (If the suggestion includes concrete code examples, it does not need to be followed exactly. As long as the code change serves the same intended purpose, the suggestion can be considered addressed.)
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Addressed: None of the issues or suggestions have been addressed by the Subsequent Code Changes.
- Partly Addressed: Some but not all issues or suggestions have been addressed.
- Fully Addressed: All issues or suggestions have been addressed.
If the code relevant to the Review Comment has been completely removed in the Subsequent Code Changes, and it is not possible to determine whether the removal was an intentional response to the comment, you can classify it as ""Not Enough Information"".

Output Format:
Analysis details:
- Addressed Items: List the issues or suggestions that have been addressed.
- Unaddressed Items: List the issues or suggestions that have not been addressed.
Classification: Based on the Addressed Items and Unaddressed Items, select one of ""Not Addressed"", ""Partly Addressed"", ""Fully Addressed"", or ""Not Enough Information"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""aeon/schema/social.py""
- Reviewed Change: ""+    def get_bodyparts(self, file: Path) -> list[str]:\n         \""\""\""Returns a list of bodyparts from a model's config file.\""\""\""\n-        parts = None\n+        parts = []\n         with open(file) as f:\n             config = json.load(f)\n         if file.stem == \""confmap_config\"":  # SLEAP\n             try:\n                 heads = config[\""model\""][\""heads\""]\n-                parts = util.find_nested_key(heads, \""part_names\"")\n+                parts = [util.find_nested_key(heads, \""anchor_part\"")]\n+                parts += util.find_nested_key(heads, \""part_names\"")\n             except KeyError as err:\n-                raise KeyError(f\""Cannot find bodyparts in {file}.\"") from err\n+                if parts is None:\n+                    raise KeyError(f\""Cannot find bodyparts in {file}.\"") from err\n         return parts""
- Review Comment: ""- in the get_bodyparts method, the error handling for keyerror could be improved. currently, if a keyerror is raised, it checks if parts is none and then raises another keyerror. however, since parts is initialized as an empty list, it will never be none, so the error message will never be raised. instead, you should check if parts is empty.\n```diff\n-         if parts is none:\n+         if not parts:\n              raise keyerror(f\""cannot find bodyparts in {file}.\"") from err\n```""

Subsequent Code Changes: Here are the cumulative modifications made to the reviewed file ""aeon/schema/social.py"" after the Code Review.
""--- \n\n+++ \n\n@@ -32,7 +32,8 @@\n\n         # Get config file from `file`, then bodyparts from config file.\n         model_dir = Path(file.stem.replace(\""_\"", \""/\"")).parent\n         config_file_dir = ceph_proc_dir / model_dir\n-        assert config_file_dir.exists(), f\""Cannot find model dir {config_file_dir}\""\n+        if not config_file_dir.exists():\n+            raise FileNotFoundError(f\""Cannot find model dir {config_file_dir}\"")\n         config_file = get_config_file(config_file_dir)\n         parts = self.get_bodyparts(config_file)\n \n@@ -78,7 +79,7 @@\n\n                 parts = [util.find_nested_key(heads, \""anchor_part\"")]\n                 parts += util.find_nested_key(heads, \""part_names\"")\n             except KeyError as err:\n-                if parts is None:\n+                if not parts:\n                     raise KeyError(f\""Cannot find bodyparts in {file}.\"") from err\n         return parts\n \n@@ -95,7 +96,8 @@\n\n         if (config_file_dir / f).exists():\n             config_file = config_file_dir / f\n             break\n-    assert config_file is not None, f\""Cannot find config file in {config_file_dir}\""\n+    if config_file is None:\n+         raise FileNotFoundError(f\""Cannot find config file in {config_file_dir}\"")\n     return config_file\n \n ""

Output: List the addressed and unaddressed items, and make the final classification.
","Analysis details:
- Addressed Items: The suggestion to check if parts is empty (using ""if not parts:"" instead of ""if parts is None:"") during error handling has been implemented.
- Unaddressed Items: None
Classification: Fully Addressed"
https://api.github.com/repos/Dev-FE-1/Toy_Project_II_team4/pulls/comments/1706228991,Not contain any items.,Not contain any items.
https://api.github.com/repos/aidar-freeed/ai-codereviewer/pulls/comments/1149858445,"Input Format:
Code Review:
- Reviewed Path: The file path of the code change.
- Reviewed Change: The code change under review. (""+"" indicates added lines, ""-"" indicates removed lines)
- Review Comment: A list of issues or suggestions for the above changes.
Subsequent Code Changes: A cumulative code changes made to the reviewed file after the review.

Task: For each item in the Review Comment, analyze whether it has been addressed by the Subsequent Code Changes by determining if:
- The issue has been completely resolved.
- The suggestion has been completely followed. (If the suggestion includes concrete code examples, it does not need to be followed exactly. As long as the code change serves the same intended purpose, the suggestion can be considered addressed.)
After completing the analysis, classify the entire review comment into one of the following categories:
- Not Addressed: None of the issues or suggestions have been addressed by the Subsequent Code Changes.
- Partly Addressed: Some but not all issues or suggestions have been addressed.
- Fully Addressed: All issues or suggestions have been addressed.
If the code relevant to the Review Comment has been completely removed in the Subsequent Code Changes, and it is not possible to determine whether the removal was an intentional response to the comment, you can classify it as ""Not Enough Information"".

Output Format:
Analysis details:
- Addressed Items: List the issues or suggestions that have been addressed.
- Unaddressed Items: List the issues or suggestions that have not been addressed.
Classification: Based on the Addressed Items and Unaddressed Items, select one of ""Not Addressed"", ""Partly Addressed"", ""Fully Addressed"", or ""Not Enough Information"" as the final classification without more explanations.

Input:
Code Review:
- Reviewed Path: ""src/sketchy-code.ts""
- Reviewed Change: ""@@ -0,0 +1,8 @@\n+const divideBySeven = () => {""
- Review Comment: ""the function name `dividebyseven` does not match its implementation. consider renaming it to better reflect its purpose.""

Subsequent Code Changes: The reviewed ""src/sketchy-code.ts"" file has been deleted after the Code Review.

Output: List the addressed and unaddressed items, and make the final classification.
","Analysis details:
- Addressed Items: None
- Unaddressed Items: ""the function name `dividebyseven` does not match its implementation. consider renaming it to better reflect its purpose.""
Classification: Not Enough Information"
